Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Norway,NOR,..,..,1.70369005203247,1.92349994182587,2.032870054245,2.08167004585266,2.03482007980347,2.13599991798401,2.24435997009277,1.93798005580902,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Oman,OMN,..,..,0.18588000535965,0.218659996986389,0.226909995079041,0.199249997735023,0.190310001373291,0.272549986839294,0.315990000963211,0.289779990911484,0.275059998035431,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Pakistan,PAK,..,0.11565999686718,..,0.246050000190735,..,0.212139993906021,..,0.174750000238419,..,0.164430007338524,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Palau,PLW,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Panama,PAN,..,0.362639993429184,0.122950002551079,0.107450000941753,0.132400006055832,0.135299995541573,0.133589997887611,0.136240005493164,0.232350006699562,0.17688000202179,0.182429999113083,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Papua New Guinea,PNG,..,..,..,..,0.031580001115799,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Paraguay,PRY,..,..,0.0790100023150444,0.0967399999499321,0.11676000058651,0.148880004882812,0.146840006113052,0.137510001659393,0.156969994306564,0.143979996442795,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Peru,PER,..,0.112659998238087,0.108050003647804,0.117020003497601,0.120080001652241,0.120849996805191,0.126829996705055,0.156959995627403,0.171829998493195,0.139149993658066,0.164350003004074,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Philippines,PHL,..,..,..,0.156829997897148,..,..,0.322219997644424,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Poland,POL,..,0.640779972076416,0.950760006904602,1.00423002243042,0.968209981918335,1.03785002231598,1.20609998703003,1.32334995269775,1.38608002662659,1.43585002422333,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Portugal,PRT,..,0.721560001373291,1.28991997241974,1.24329996109009,1.28075003623962,1.3192800283432,1.3495500087738,1.39561998844147,1.61391997337341,1.6807199716568,1.72783005237579,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Puerto Rico,PRI,..,..,..,0.428829997777939,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Qatar,QAT,..,..,..,0.518830001354218,..,..,0.531289994716644,..,..,0.680779993534088,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Romania,ROU,..,0.36625999212265,0.382079988718033,0.487960010766983,0.488640010356903,0.506929993629456,0.49728998541832,0.476159989833832,0.465380012989044,0.473019987344742,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Russian Federation,RUS,..,1.04982995986938,1.07240998744965,1.10084998607635,1.10238003730774,1.10967004299164,0.990019977092743,1.03531002998352,1.09098994731903,0.961969971656799,0.935840010643005,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Rwanda,RWA,..,..,..,..,0.649439990520477,..,..,0.758729994297028,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Samoa,WSM,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,San Marino,SMR,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Sao Tome and Principe,STP,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Saudi Arabia,SAU,..,..,..,..,..,..,..,..,0.498019993305206,0.445499986410141,0.463349997997284,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Senegal,SEN,..,..,..,0.577199995517731,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Serbia,SRB,..,0.854240000247955,0.723089993000031,0.810899972915649,0.838220000267029,0.872380018234253,0.918910026550293,0.886669993400574,0.90557998418808,0.994090020656586,0.967100024223328,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Seychelles,SYC,..,..,..,..,0.216849997639656,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Sierra Leone,SLE,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Singapore,SGP,..,1.81699001789093,2.082279920578,2.1744499206543,2.07291007041931,1.89904999732971,1.80957996845245,1.8850599527359,2.16304993629456,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Slovak Republic,SVK,..,0.638059973716736,0.876999974250793,1.1572699546814,0.788569986820221,0.884559988975525,0.835550010204315,0.822409987449646,0.897809982299805,0.915390014648438,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Slovenia,SVN,..,1.35982000827789,2.36547994613647,2.19565010070801,2.00763988494873,1.86530005931854,1.9459400177002,2.04128003120422,2.14265990257263,2.13088011741638,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Solomon Islands,SLB,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Somalia,SOM,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,South Africa,ZAF,..,..,0.709869980812073,0.731469988822937,0.749920010566711,0.762570023536682,0.687730014324188,0.614300012588501,0.603600025177002,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,South Sudan,SSD,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Spain,ESP,..,0.882759988307953,1.24159002304077,1.22178995609283,1.18985998630524,1.20976996421814,1.24151003360748,1.25024998188019,1.41039001941681,1.42929005622864,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Sri Lanka,LKA,..,0.143920004367828,0.096050001680851,0.102909997105598,0.120339997112751,0.118179999291897,0.119489997625351,..,0.115970000624657,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,St. Kitts and Nevis,KNA,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,St. Lucia,LCA,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,St. Vincent and the Grenadines,VCT,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Sudan,SDN,..,0.472770005464554,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Suriname,SUR,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Sweden,SWE,..,..,3.10184001922607,3.21902990341187,3.24735999107361,3.36279010772705,3.32105994224548,3.38757991790771,3.48959994316101,3.41742992401123,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Switzerland,CHE,..,2.26385998725891,..,3.07832002639771,..,3.07698011398315,..,3.19679999351501,..,3.35917997360229,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Syrian Arab Republic,SYR,..,..,..,0.0194199997931719,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Tajikistan,TJK,..,..,0.116240002214909,0.103399999439716,0.106219999492168,0.109569996595383,0.0940100029110909,0.0936700031161308,0.0896899998188019,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Tanzania,TZA,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Thailand,THA,..,0.244709998369217,0.479880005121231,0.616089999675751,0.778289973735809,1.00165998935699,1.11373996734619,1.14316999912262,1.32818996906281,1.20972001552582,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Timor-Leste,TLS,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Togo,TGO,..,..,0.196140006184578,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Tonga,TON,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Trinidad and Tobago,TTO,..,0.108000002801418,0.0765300020575523,0.0804800018668175,0.0870900005102158,0.0860600024461746,0.0822200030088425,0.059409998357296,0.0643400028347969,0.0538199990987778,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Tunisia,TUN,..,..,0.619880020618439,0.594129979610443,0.56538999080658,0.699540019035339,0.716449975967407,0.746580004692078,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Turkiye,TUR,..,0.465579986572266,0.856400012969971,0.876890003681183,1.11978995800018,1.17631995677948,1.2717399597168,1.32146000862122,1.36757004261017,1.40351998806,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Turkmenistan,TKM,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Turks and Caicos Islands,TCA,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Tuvalu,TUV,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Uganda,UGA,..,..,0.142649993300438,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Ukraine,UKR,..,0.929040014743805,0.650340020656586,0.614769995212555,0.483390003442764,0.448790013790131,0.471130013465881,0.43384000658989,0.403180003166199,0.376899987459183,0.326959997415543,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,United Arab Emirates,ARE,..,..,0.675230026245117,0.865700006484985,0.931800007820129,..,1.26389002799988,1.31064999103546,1.48830997943878,1.49524998664856,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,United Kingdom,GBR,..,1.60906004905701,2.26449990272522,2.27027010917664,2.31145000457764,2.3231999874115,2.70481991767883,2.66551995277405,2.93144011497498,2.91476011276245,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,United States,USA,..,2.6198399066925,2.71785998344421,2.78699994087219,2.85349988937378,2.90432000160217,3.0100998878479,3.170490026474,3.46777009963989,3.45705008506775,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Uruguay,URY,..,0.209250003099442,0.317070007324219,0.351090013980865,0.373910009860992,0.440519988536835,0.505940020084381,0.426670014858246,0.446619987487793,0.420349985361099,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Uzbekistan,UZB,..,0.360630005598068,0.153349995613098,0.164969995617867,0.172380000352859,0.148340001702309,0.123939998447895,0.113059997558594,0.13850000500679,0.131600007414818,0.160219997167587,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Vanuatu,VUT,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,"Venezuela, RB",VEN,..,..,0.337130010128021,0.439999997615814,0.689999997615814,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Viet Nam,VNM,..,..,..,0.356290012598038,..,0.418949991464615,..,0.416519999504089,..,0.425330013036728,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,West Bank and Gaza,PSE,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,"Yemen, Rep.",YEM,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Zambia,ZMB,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Zimbabwe,ZWE,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Africa Eastern and Southern,AFE,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Africa Western and Central,AFW,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Arab World,ARB,..,..,..,..,..,..,..,..,0.702448749247632,0.709210494558301,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Caribbean small states,CSS,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Central Europe and the Baltics,CEB,..,0.745464725166499,1.09120674666116,1.14128914717665,1.0266369655683,1.08647470137121,1.19275414649108,1.24757864479338,1.30738184338111,1.33149615741427,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Early-demographic dividend,EAR,..,0.597209365247645,..,0.713056999518774,0.753119995276962,0.720080969347718,0.733812095349877,0.761264744012841,0.824657861977683,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,East Asia & Pacific,EAS,..,2.23413268561969,2.4750273549477,2.32228205119854,2.33944076911114,2.31531946464291,2.35517683296441,2.3943850282443,2.57988343757518,2.67970992324757,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,East Asia & Pacific (excluding high income),EAP,..,0.727818471783198,1.94167342412826,1.90548178356657,1.90315412947133,1.9000984970267,1.91207217374831,2.02398953024816,2.19732042219998,2.35046192574672,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,East Asia & Pacific (IDA & IBRD countries),TEA,..,0.727818471783198,1.94167342412826,1.90548178356657,1.90315412947133,1.9000984970267,1.91207217374831,2.02398953024816,2.19732042219998,2.35046192574672,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Euro area,EMU,..,1.8078379088049,2.14565855751437,2.13530083021688,2.13917014057575,2.17900648714638,2.21367405955429,2.25718486603823,2.33267722450509,2.30650473591988,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Europe & Central Asia,ECS,..,1.68274336413343,1.92953832575332,1.99880376760375,1.98681992424749,2.04062398942321,2.0795062835945,2.13701515246609,2.20554682090354,2.20211608216829,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Europe & Central Asia (excluding high income),ECA,..,0.497376720304747,0.632316149918671,0.655055171297136,0.818192299757781,0.830096068848727,0.85258066234567,0.852378731898731,0.874607584515109,0.88228594977511,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Europe & Central Asia (IDA & IBRD countries),TEC,..,0.696851966891711,0.86047636118644,0.870058407182866,0.926405762120768,0.953674106323366,0.939737037910285,0.976911994623545,1.01755280252166,0.976088295974125,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,European Union,EUU,..,1.76400257247779,2.11987655816252,2.11948514934295,2.11896544574937,2.15412985383581,2.18703975825364,2.22557666793348,2.30071498765033,2.27497248812529,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Fragile and conflict affected situations,FCS,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Heavily indebted poor countries (HIPC),HPC,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,High income,HIC,..,2.29312810249539,2.42675419371243,2.46227272867052,2.51925847325215,2.55053901194916,2.62458405201132,2.70450653913157,2.89419452506327,2.87081045301355,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,IBRD only,IBD,..,0.653946885980547,1.29754940196007,1.35856118451203,1.38035417431413,1.35077143513949,1.40495225209019,1.46850169110657,1.61981967830637,1.89459955956353,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,IDA & IBRD total,IBT,..,0.638157945480555,1.28552365247573,1.32810995655821,1.36563775949273,1.32006148601477,1.39263061806353,1.42613400892801,1.60598597394285,1.85955413174887,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,IDA blend,IDB,..,..,..,..,..,..,..,0.230270273623277,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,IDA only,IDX,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,IDA total,IDA,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Late-demographic dividend,LTE,..,0.825404519149623,1.53579534984539,1.60911288963821,1.6752404200775,1.66903400283474,1.69397381000051,1.79583520784131,1.95357718000838,2.07527161478852,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Latin America & Caribbean,LCN,..,0.56307829507538,0.73878684342503,0.764405152160709,0.725542097261891,0.654358974143133,0.64686114933051,0.654800578828409,0.617636666009012,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Latin America & Caribbean (excluding high income),LAC,..,0.570565733657374,0.807694605042953,0.811331466432797,0.763297450275883,0.684574617254321,0.677377193704882,0.688885436020702,0.648065247277082,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Latin America & the Caribbean (IDA & IBRD countries),TLA,..,0.564431600351732,0.743054746239308,0.778046028378274,0.733298238119028,0.658632605709961,0.649090702937303,0.65700273967695,0.620273668877172,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Least developed countries: UN classification,LDC,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Low & middle income,LMY,..,0.618126577821108,1.36220465079193,1.37195492023721,1.41409456133987,1.3621367232495,1.44874837821429,1.47827741835068,1.67043372611012,1.97476802024293,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Low income,LIC,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Lower middle income,LMC,..,..,..,0.548229317304348,..,0.566895959714283,..,0.554788987768017,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Middle East & North Africa,MEA,..,..,..,..,..,..,..,..,1.61214834965956,1.58805104129301,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Middle East & North Africa (excluding high income),MNA,..,..,..,..,..,0.580398324402722,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Middle East & North Africa (IDA & IBRD countries),TMN,..,..,..,0.446523120361026,..,0.580398324402722,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Middle income,MIC,..,0.619042159903611,1.36597804482778,1.3760405446356,1.41566888068575,1.36749632147346,1.44896399235071,1.48015930302136,1.67142320739399,1.97768138427479,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,North America,NAC,..,2.5682707182671,2.62369968378134,2.70040112777091,2.7689972653412,2.80989281342605,2.91111092192908,3.06364570413846,3.35365255676947,3.31952980151059,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Not classified,INX,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,OECD members,OED,..,2.24780502703947,2.44246647518198,2.47226690653557,2.52441941010623,2.552017152681,2.65770482871478,2.72975975595678,2.95024914709023,2.94643789021852,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Other small states,OSS,..,..,0.825715239544685,..,..,..,0.999598250751552,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Pacific island small states,PSS,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Post-demographic dividend,PST,..,2.32159838481414,2.55174824147604,2.57184860565465,2.61908694632262,2.6421734602913,2.75248925072159,2.81463927508097,3.04224977535229,3.0235960388141,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Pre-demographic dividend,PRE,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Small states,SST,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,South Asia,SAS,..,0.630640965053373,0.678035592804138,0.619025728034281,0.649543452562021,0.599364743639285,0.64175181322042,0.610145683204958,0.630154242814722,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,South Asia (IDA & IBRD),TSA,..,0.630640965053373,0.678035592804138,0.619025728034281,0.649543452562021,0.599364743639285,0.64175181322042,0.610145683204958,0.630154242814722,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Sub-Saharan Africa,SSF,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Sub-Saharan Africa (excluding high income),SSA,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Sub-Saharan Africa (IDA & IBRD countries),TSS,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Upper middle income,UMC,..,0.632411833782453,1.46505745749945,1.53756465736587,1.54371582114863,1.51271752029912,1.58844978805673,1.66408958101739,1.82527788564135,2.06445610744124,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,World,WLD,..,2.0466542086543,2.0928911917387,2.12119617335411,2.16818765118858,2.16044403172222,2.23643650859384,2.30046346931177,2.49463288139304,2.61519807694517,..,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 12/16/2024,,,,,,,,,,,,,,,
Code,License Type,Indicator Name,Long definition,Source,Topic,Periodicity,Aggregation method,Statistical concept and methodology,Development relevance,Limitations and exceptions,License URL
GB.XPD.RSDV.GD.ZS,CC BY-4.0,Research and development expenditure (% of GDP),"Gross domestic expenditures on research and development (R&D), expressed as a percent of GDP. They include both capital and current expenditures in the four main sectors: Business enterprise, Government, Higher education and Private non-profit. R&D covers basic research, applied research, and experimental development.","UNESCO Institute for Statistics (UIS). UIS.Stat Bulk Data Download Service. Accessed September 30, 2024. https://apiportal.uis.unesco.org/bdds.",Infrastructure: Technology,Annual,Weighted average,"The gross domestic expenditure on R&D indicator consists of the total expenditure (current and capital) on R&D by all resident companies, research institutes, university and government laboratories, etc. It excludes R&D expenditures financed by domestic firms but performed abroad. 

The OECD's Frascati Manual defines research and experimental development as "creative work undertaken on a systemic basis in order to increase the stock of knowledge, including knowledge of man, culture and society, and the use of this stock of knowledge to devise new applications." R&D covers basic research, applied research, and experimental development.

(1) Basic research - Basic research is experimental or theoretical work undertaken primarily to acquire new knowledge of the underlying foundation of phenomena and observable facts, without any particular application or use in view

(2) Applied research - Applied research is also original investigation undertaken in order to acquire new knowledge; it is, however, directed primarily towards a specific practical aim or objective.

(3) Experimental development - Experimental development is systematic work, drawing on existing knowledge gained from research and/or practical experience, which is directed to producing new materials, products or devices, to installing new processes, systems and services, or to improving substantially those already produced or installed.

The fields of science and technology used to classify R&D according to the Revised Fields of Science and Technology Classification are:
1. Natural sciences;
2. Engineering and technology;
3. Medical and health sciences;
4. Agricultural sciences;
5. Social sciences;
6. Humanities and the arts.

The data are obtained through statistical surveys which are regularly conducted at national level covering R&D performing entities in the private and public sectors.",Expenditure on research and development (R&D) is a key indicator of government and private sector efforts to obtain competitive advantage in science and technology.,"Estimates of the resources allocated to R&D are affected by national characteristics such as the periodicity and coverage of national R&D surveys across institutional sectors and industries; and the use of different sampling and estimation methods. R&D typically involves a few large performers, hence R&D surveys use various techniques to maintain up-to-date registers of known performers, while attempting to identify new or occasional performers. 

R&D totals from SNA accounts may differ from these estimates, due in part to the different treatments of software R&D in the totals.",https://datacatalog.worldbank.org/public-licenses#cc-by
