District;Population
Adalar;16,325
Arnavutköy;336,062
Ataşehir;416,529
Avcılar;437,221
Bağcılar;719,071
Bahçelievler;567,848
Bakırköy;220,476
Başakşehir;509,915
Bayrampaşa;268,85
Beşiktaş;169,022
Beykoz;245,647
Beylikdüzü;409,347
Beyoğlu;218,589
Büyükçekmece;276,572
Çekmeköy;299,806
Esenler;427,901
Esenyurt;978,007
Eyüpsultan (Eyüp);420,194
Fatih;356,025
Gaziosmanpaşa;483,83
Güngören;269,944
Kadıköy;467,919
Kağıthane;445,672
Kartal;475,042
Küçükçekmece;792,03
Maltepe;523,137
Pendik;743,774
Sancaktepe;492,804
Sarıyer;344,25
Şişli;264,736
Sultanbeyli;360,702
Sultangazi;532,802
Tuzla;293,604
Ümraniye;723,76
Üsküdar;517,348
Zeytinburnu;280,896