Government budget allocations for R&D;;;;;;;;;;;;;
Measure: Government Allocations for R&D (GBARD);;;;;;;;;;;;;
Combined unit of measure: National currency, Millions;;;;;;;;;;;;;
;;;;;;;;;;;;;
Time period;Time period;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;
Reference area;;;;;;;;;;;;;
Australia; AUD;D   6.794,495;D   6.895,449;D   7.666,733;D   7.474,996;D   7.641,970;D,P   9.200,916;D,P   8.736,513;D,P   9.006,405;D,P   9.245,801;;;
Austria; EUR;D   2.744,844;D   2.875,706;D   2.889,779;D   2.913,369;D   3.009,644;D   3.287,074;D   3.269,580;D   3.605,800;D,P   4.174,390;D,P   4.611,200;;
Belgium; EUR;2.537,333;2.686,378;2.937,849;2.938,965;3.312,681;3.401,846;3.664,464;3.822,040;;;;
Canada; CAD;D   9.918,000;D   10.206,000;D   11.064,000;D   10.884,000;D   11.454,000;D   12.525,000;D   12.453,000;;;;;
Chile; CLP;321.572,515;372.153,171;388.352,451;414.224,195;408.798,566;417.461,688;449.791,161;;;;;
Colombia; COP;791.587,856;660.734,897;821.303,564;739.961,447;736.336,002;636.534,815;;;;;;
Czechia; CZK;27.829,778;27.984,351;30.653,310;33.382,637;35.813,011;38.090,058;38.294,896;38.485,190;P   38.158,590;;;
Denmark; DKK;E   20.414,400;E   19.076,200;E   19.440,400;E   19.990,500;P   20.645,600;E   22.536,800;E   23.124,000;E   23.119,600;;;;
Estonia; EUR;E   140,455;B   145,150;143,150;182,390;175,420;187,160;215,730;260,340;;;;
Finland; EUR;2.001,600;1.836,420;1.885,910;1.951,000;2.008,900;2.286,600;2.235,610;2.402,360;;;;
France; EUR;14.173,486;14.048,173;14.747,869;15.560,344;16.181,862;17.008,805;E   17.659,905;17.899,705;;;;
Germany; EUR;26.532,810;28.349,099;30.160,778;31.759,930;33.994,960;37.171,110;40.451,534;43.055,255;P   44.650,705;;;
Greece; EUR;923,020;946,260;884,640;1.118,010;1.288,440;1.463,210;1.550,212;1.537,490;;;;
Hungary; HUF;96.160,400;139.996,800;136.207,500;129.457,900;129.148,000;256.452,900;249.003,200;202.512,140;;;;
Iceland; ISK;17.105,200;20.435,720;21.683,980;24.271,470;25.102,720;30.236,550;38.301,230;41.861,869;P   43.428,603;;;
Ireland; EUR;736,300;719,300;739,300;765,700;802,200;866,800;952,380;963,680;;;;
Israel; ILS;D   7.210,700;D   7.567,300;D   7.736,900;D   8.225,241;D   8.658,130;D   9.438,117;D   8.868,764;D   9.366,689;;;;
Italy; EUR;8.371,600;8.734,100;8.791,892;9.008,724;9.835,682;11.020,012;11.675,222;12.843,140;;;;
Japan; JPY;D   3.477.647,000;B,D   3.566.864,631;B,D,P   4.456.397,651;D,P   4.774.072,512;D,P   5.737.039,816;D,P   9.209.968,765;D,P   8.178.727,799;D   9.490.802,470;9.470.303,378;;;
Korea; KRW;18.890.025,940;19.149.201,000;19.501.845,750;19.748.269,000;20.853.200,000;24.255.800,000;27.400.500,000;P   29.777.002,000;P   30.657.400,000;;;
Latvia; EUR;46,600;52,600;60,000;63,900;69,000;79,200;84,350;93,360;;;;
Lithuania; EUR;122,053;122,180;132,222;133,648;152,410;163,260;174,800;219,370;;;;
Luxembourg; EUR;334,820;340,930;348,030;359,580;385,910;375,680;428,310;430,460;;;;
Mexico; MXN;59.061,800;55.723,240;50.535,484;51.205,760;48.248,766;49.183,560;52.398,016;54.893,230;P   62.594,403;P   64.373,759;;
Netherlands; EUR;4.880,717;4.926,044;4.957,942;5.520,877;5.634,935;6.063,576;6.847,064;7.532,900;P   9.092,650;P   9.584,540;P   9.244,690;
New Zealand; NZD;1.289,200;1.344,500;1.508,200;;;;;;;;;
Norway; NOK;28.966,071;30.940,451;33.908,900;34.991,800;36.518,500;39.372,500;38.424,700;41.590,980;P   41.054,870;;;
Poland; PLN;7.338,700;6.111,600;7.185,400;6.053,100;B   10.182,300;10.186,400;12.018,033;12.971,790;;;;
Portugal; EUR;686,800;708,660;731,354;744,686;747,197;740,992;778,960;801,600;;;;
Slovak Republic; EUR;330,736;302,259;306,538;328,195;360,108;383,947;407,242;412,400;;;;
Slovenia; EUR;159,832;162,773;170,529;191,664;219,761;243,550;264,354;306,830;;;;
Spain; EUR;6.042,343;6.055,255;5.996,533;6.268,690;6.482,661;6.963,152;7.492,491;8.002,480;;;;
Sweden; SEK;33.132,369;34.389,422;35.711,193;36.211,582;37.016,947;38.466,419;42.692,579;43.512,490;B,P   46.817,952;;;
Switzerland; CHF;5.873,416;;B   6.842,132;6.682,579;6.923,690;7.265,052;7.371,999;7.664,770;;;;
Türkiye; TRY;8.544,100;10.732,290;13.243,950;16.536,480;19.423,020;20.477,380;27.281,620;53.844,330;P   76.100,740;;;
United Kingdom; GBP;10.155,200;10.333,800;10.953,600;11.818,000;12.174,390;14.004,970;14.027,290;;;;;
United States; USD;115.220,000;126.093,000;127.306,000;144.459,000;149.971,000;169.901,000;161.885,000;186.876,000;P   202.189,000;P   210.030,000;;
Non-OECD economies;;;;;;;;;;;;;
·  Bulgaria; BGN;212,470;187,470;214,270;223,170;267,310;283,800;325,830;365,780;;;;
·  Croatia; EUR;361,400;343,410;350,690;389,070;415,850;393,540;413,230;445,120;;;;
·  Romania; RON;1.836,104;2.137,287;1.610,100;1.638,000;2.032,136;1.920,248;1.936,070;1.959,920;;;;
·  Russia; RUB;439.392,800;402.722,300;377.882,200;420.472,300;489.158,400;549.602,100;;;;;;
·  Chinese Taipei; TWD;115.063,250;120.639,614;122.962,044;116.725,547;121.580,864;122.820,837;123.987,840;131.451,447;137.915,115;;;
;;;;;;;;;;;;;
© Terms & conditions ;;;;;;;;;;;;;Government budget allocations for R&D